Specimen number (included),7
Modulus (Automatic Young's),"318,192.67396",MPa
Length,"26.00000",mm
Specimen ID,"0036"
Thickness,"2.07700",mm
Width,"10.20500",mm
Tensile stress at Tensile strength,"784.16650",MPa
Tensile strain (Strain 1) at Tensile strength,"0.03587",mm/mm

Time,Extension,Load,Tensile strain (Strain 1),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.00000","-0.00350","504.89203","-0.0014","23.8204"
"0.10000","-0.00331","504.93985","-0.0018","23.8227"
"0.20000","-0.00081","548.96448","-0.0007","25.8997"
"0.30000","0.00081","611.59039","0.0002","28.8543"
"0.40000","0.00331","671.31183","0.0011","31.6719"
"0.50000","0.00481","715.26904","0.0016","33.7458"
"0.60000","0.00637","748.71820","0.0023","35.3239"
"0.70000","0.00806","784.71014","0.0026","37.0220"
"0.80000","0.01012","827.85291","0.0033","39.0574"
"0.90000","0.01156","863.19617","0.0038","40.7249"
"1.00000","0.01275","878.82178","0.0040","41.4621"
"1.10000","0.01500","924.61920","0.0046","43.6228"
"1.20000","0.01650","955.46375","0.0052","45.0780"
"1.30000","0.01806","983.75848","0.0057","46.4129"
"1.40000","0.01975","1,011.69122","0.0061","47.7308"
"1.50000","0.02181","1,048.83350","0.0068","49.4831"
"1.60000","0.02331","1,079.78125","0.0070","50.9432"
"1.70000","0.02444","1,090.06116","0.0068","51.4282"
"1.80000","0.02662","1,126.59583","0.0075","53.1519"
"1.90000","0.02819","1,157.47302","0.0079","54.6086"
"2.00000","0.02975","1,179.23877","0.0081","55.6355"
"2.10000","0.03137","1,202.73108","0.0087","56.7439"
"2.20000","0.03325","1,233.05981","0.0091","58.1748"
"2.30000","0.03512","1,267.01965","0.0096","59.7770"
"2.40000","0.03612","1,272.06519","0.0095","60.0150"
"2.50000","0.03819","1,301.66858","0.0104","61.4117"
"2.60000","0.03994","1,333.58337","0.0105","62.9174"
"2.70000","0.04144","1,350.97205","0.0107","63.7378"
"2.80000","0.04294","1,370.37549","0.0109","64.6532"
"2.90000","0.04487","1,399.33411","0.0115","66.0194"
"3.00000","0.04687","1,430.93652","0.0120","67.5104"
"3.10000","0.04787","1,434.68042","0.0120","67.6871"
"3.20000","0.04962","1,456.61316","0.0123","68.7218"
"3.30000","0.05156","1,490.42151","0.0128","70.3169"
"3.40000","0.05312","1,505.98108","0.0130","71.0510"
"3.50000","0.05462","1,522.48499","0.0134","71.8296"
"3.60000","0.05662","1,549.43176","0.0137","73.1009"
"3.70000","0.05856","1,577.69788","0.0139","74.4345"
"3.80000","0.05956","1,580.79749","0.0140","74.5807"
"3.90000","0.06125","1,598.06921","0.0144","75.3956"
"4.00000","0.06331","1,634.20923","0.0149","77.1007"
"4.10000","0.06487","1,647.18091","0.0149","77.7127"
"4.20000","0.06637","1,661.98999","0.0152","78.4113"
"4.30000","0.06819","1,685.21216","0.0156","79.5069"
