Specimen number (included),5
Modulus (Automatic Young's),"366,428.93691",MPa
Length,"26.00000",mm
Specimen ID,"0033"
Thickness,"2.05900",mm
Width,"10.16200",mm
Tensile stress at Tensile strength,"764.46558",MPa
Tensile strain (Strain 1) at Tensile strength,"0.03333",mm/mm

Time,Extension,Load,Tensile strain (Strain 1),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.00000","-0.00175","495.74091","-0.0007","23.6930"
"0.10000","-0.00163","495.82495","-0.0009","23.6970"
"0.20000","0.00000","524.76294","-0.0006","25.0800"
"0.30000","0.00269","591.54510","0.0004","28.2717"
"0.40000","0.00487","664.48315","0.0014","31.7577"
"0.50000","0.00637","702.81158","0.0022","33.5895"
"0.60000","0.00819","741.80017","0.0026","35.4529"
"0.70000","0.01025","787.54944","0.0033","37.6394"
"0.80000","0.01162","823.11536","0.0038","39.3392"
"0.90000","0.01281","841.10431","0.0042","40.1989"
"1.00000","0.01512","888.40320","0.0050","42.4595"
"1.10000","0.01656","918.47498","0.0053","43.8967"
"1.20000","0.01812","947.75006","0.0061","45.2958"
"1.30000","0.01987","976.71552","0.0061","46.6802"
"1.40000","0.02194","1,016.06476","0.0067","48.5608"
"1.50000","0.02337","1,045.98474","0.0070","49.9908"
"1.60000","0.02450","1,058.18665","0.0073","50.5739"
"1.70000","0.02675","1,099.17456","0.0078","52.5329"
"1.80000","0.02825","1,127.81799","0.0085","53.9018"
"1.90000","0.02987","1,155.98315","0.0085","55.2479"
"2.00000","0.03156","1,181.55042","0.0090","56.4699"
"2.10000","0.03331","1,211.61560","0.0097","57.9068"
"2.20000","0.03512","1,246.76978","0.0098","59.5869"
"2.30000","0.03619","1,256.76709","0.0102","60.0647"
"2.40000","0.03831","1,290.36694","0.0105","61.6705"
"2.50000","0.04000","1,322.96436","0.0111","63.2285"
"2.60000","0.04150","1,342.88647","0.0115","64.1806"
"2.70000","0.04306","1,365.50220","0.0117","65.2615"
"2.80000","0.04500","1,397.01929","0.0121","66.7678"
"2.90000","0.04694","1,431.37012","0.0125","68.4095"
"3.00000","0.04794","1,437.50818","0.0125","68.7029"
"3.10000","0.04975","1,463.13074","0.0129","69.9274"
"3.20000","0.05162","1,498.71887","0.0135","71.6283"
"3.30000","0.05325","1,517.40967","0.0135","72.5216"
"3.40000","0.05475","1,536.71558","0.0140","73.4443"
"3.50000","0.05669","1,567.03870","0.0145","74.8935"
"3.60000","0.05862","1,598.20972","0.0147","76.3833"
"3.70000","0.05962","1,603.25464","0.0146","76.6244"
"3.80000","0.06137","1,624.47693","0.0150","77.6387"
"3.90000","0.06337","1,661.78296","0.0156","79.4216"
"4.00000","0.06494","1,676.69397","0.0158","80.1343"
"4.10000","0.06644","1,694.64978","0.0159","80.9924"
"4.20000","0.06831","1,720.49402","0.0162","82.2276"
"4.30000","0.07037","1,751.26440","0.0166","83.6982"
"4.40000","0.07137","1,757.46289","0.0168","83.9945"
"4.50000","0.07294","1,773.64795","0.0171","84.7680"
"4.60000","0.07512","1,811.22827","0.0176","86.5641"
"4.70000","0.07669","1,825.82861","0.0176","87.2619"
"4.80000","0.07806","1,841.95825","0.0179","88.0327"
"4.90000","0.07987","1,864.34070","0.0182","89.1025"
"5.00000","0.08206","1,894.29761","0.0188","90.5342"
"5.10000","0.08312","1,903.46765","0.0190","90.9725"
"5.20000","0.08456","1,913.95398","0.0188","91.4736"
"5.30000","0.08681","1,950.75574","0.0195","93.2325"
"5.40000","0.08825","1,963.66968","0.0193","93.8497"
"5.50000","0.08975","1,980.24365","0.0195","94.6418"
"5.60000","0.09162","2,000.88989","0.0202","95.6286"
"5.70000","0.09369","2,028.91602","0.0203","96.9680"
"5.80000","0.09487","2,039.93726","0.0203","97.4948"
"5.90000","0.09612","2,046.68176","0.0204","97.8171"
"6.00000","0.09844","2,080.78662","0.0208","99.4471"
"6.10000","0.09994","2,096.30103","0.0210","100.1886"
"6.20000","0.10150","2,111.31519","0.0212","100.9061"
"6.30000","0.10325","2,129.02417","0.0216","101.7525"
"6.40000","0.10531","2,155.45117","0.0217","103.0155"
"6.50000","0.10669","2,169.32324","0.0219","103.6785"
"6.60000","0.10781","2,173.54419","0.0221","103.8802"
"6.70000","0.11006","2,203.73804","0.0224","105.3233"
"6.80000","0.11169","2,223.34546","0.0226","106.2604"
"6.90000","0.11312","2,236.01538","0.0226","106.8659"
"7.00000","0.11481","2,251.26880","0.0227","107.5949"
"7.10000","0.11687","2,279.14575","0.0233","108.9273"
"7.20000","0.11844","2,296.61792","0.0236","109.7623"
"7.30000","0.11950","2,297.90479","0.0233","109.8238"
"7.40000","0.12156","2,323.44434","0.0236","111.0444"
"7.50000","0.12331","2,347.23462","0.0240","112.1814"
"7.60000","0.12487","2,360.19604","0.0240","112.8009"
"7.70000","0.12644","2,374.17773","0.0243","113.4691"
"7.80000","0.12844","2,397.73340","0.0246","114.5949"
"7.90000","0.13019","2,418.56250","0.0247","115.5904"
"8.00000","0.13119","2,419.20312","0.0246","115.6210"
"8.10000","0.13306","2,439.79761","0.0252","116.6053"
"8.20000","0.13500","2,466.66870","0.0255","117.8895"
"8.30000","0.13656","2,477.92969","0.0256","118.4277"
"8.40000","0.13812","2,491.42065","0.0257","119.0725"
"8.50000","0.14000","2,514.24658","0.0260","120.1634"
"8.60000","0.14194","2,536.27490","0.0265","121.2162"
"8.70000","0.14294","2,538.01953","0.0262","121.2996"
"8.80000","0.14469","2,553.20020","0.0265","122.0251"
"8.90000","0.14675","2,585.34692","0.0270","123.5615"
"9.00000","0.14825","2,593.52100","0.0270","123.9522"
"9.10000","0.14981","2,606.04126","0.0272","124.5506"
"9.20000","0.15169","2,628.61133","0.0276","125.6293"
"9.30000","0.15369","2,649.79883","0.0278","126.6419"
"9.40000","0.15469","2,652.53418","0.0279","126.7726"
"9.50000","0.15625","2,663.37085","0.0281","127.2905"
"9.60000","0.15850","2,697.89014","0.0284","128.9403"
"9.70000","0.15994","2,705.37939","0.0287","129.2982"
"9.80000","0.16144","2,718.08643","0.0286","129.9056"
"9.90000","0.16331","2,738.71191","0.0291","130.8913"
"10.00000","0.16537","2,760.43164","0.0293","131.9294"
"10.10000","0.16650","2,764.52148","0.0293","132.1248"
"10.20000","0.16781","2,772.10693","0.0295","132.4874"
"10.30000","0.17012","2,804.84473","0.0300","134.0520"
"10.40000","0.17162","2,814.61377","0.0300","134.5189"
"10.50000","0.17312","2,825.96509","0.0301","135.0614"
"10.60000","0.17500","2,844.62305","0.0307","135.9531"
"10.70000","0.17694","2,864.95435","0.0309","136.9248"
"10.80000","0.17825","2,875.86743","0.0307","137.4464"
"10.90000","0.17950","2,878.61035","0.0308","137.5775"
"11.00000","0.18181","2,909.38647","0.0313","139.0484"
"11.10000","0.18325","2,920.29150","0.0313","139.5695"
"11.20000","0.18475","2,933.33374","0.0314","140.1929"
"11.30000","0.18656","2,948.43140","0.0319","140.9144"
"11.40000","0.18862","2,969.63062","0.0320","141.9276"
"11.50000","0.19000","2,981.35767","0.0324","142.4881"
"11.60000","0.19112","2,982.81152","0.0324","142.5576"
"11.70000","0.19331","3,008.62695","0.0326","143.7914"
"11.80000","0.19500","3,025.47339","0.0330","144.5965"
"11.90000","0.19650","3,036.23999","0.0332","145.1111"
"12.00000","0.19812","3,049.37549","0.0333","145.7389"
"12.10000","0.20019","3,071.67163","0.0335","146.8045"
"12.20000","0.20181","3,087.32324","0.0338","147.5525"
"12.30000","0.20281","3,085.43213","0.0338","147.4621"
"12.40000","0.20487","3,107.01733","0.0338","148.4937"
"12.50000","0.20669","3,130.60889","0.0343","149.6213"
"12.60000","0.20819","3,139.14893","0.0342","150.0294"
"12.70000","0.20981","3,152.10449","0.0345","150.6486"
"12.80000","0.21175","3,172.30444","0.0350","151.6140"
"12.90000","0.21356","3,192.89575","0.0351","152.5981"
"13.00000","0.21456","3,190.37256","0.0353","152.4775"
"13.10000","0.21644","3,209.07129","0.0353","153.3712"
"13.20000","0.21844","3,235.87427","0.0357","154.6522"
"13.30000","0.21987","3,240.49658","0.0360","154.8731"
"13.40000","0.22144","3,253.35425","0.0361","155.4876"
"13.50000","0.22325","3,272.14014","0.0365","156.3855"
"13.60000","0.22531","3,293.70947","0.0368","157.4163"
"13.70000","0.22631","3,291.14746","0.0367","157.2939"
"13.80000","0.22800","3,303.44336","0.0368","157.8815"
"13.90000","0.23006","3,331.86304","0.0373","159.2398"
"14.00000","0.23156","3,338.25269","0.0373","159.5452"
"14.10000","0.23312","3,350.21167","0.0375","160.1167"
"14.20000","0.23500","3,368.63281","0.0380","160.9971"
"14.30000","0.23706","3,388.62354","0.0383","161.9526"
"14.40000","0.23806","3,386.53955","0.0380","161.8530"
"14.50000","0.23956","3,395.61963","0.0383","162.2869"
"14.60000","0.24175","3,425.91919","0.0387","163.7350"
"14.70000","0.24331","3,433.68726","0.0389","164.1063"
"14.80000","0.24481","3,444.13672","0.0387","164.6057"
"14.90000","0.24656","3,458.80469","0.0393","165.3067"
"15.00000","0.24869","3,479.20459","0.0397","166.2817"
"15.10000","0.24981","3,484.22974","0.0398","166.5219"
"15.20000","0.25119","3,489.34717","0.0396","166.7664"
"15.30000","0.25350","3,520.93359","0.0399","168.2760"
"15.40000","0.25494","3,526.77246","0.0402","168.5551"
"15.50000","0.25644","3,537.23584","0.0402","169.0552"
"15.60000","0.25819","3,551.59912","0.0406","169.7417"
"15.70000","0.26031","3,572.11206","0.0411","170.7220"
"15.80000","0.26162","3,579.78979","0.0412","171.0890"
"15.90000","0.26281","3,580.79907","0.0412","171.1372"
"16.00000","0.26512","3,609.00659","0.0418","172.4853"
"16.10000","0.26656","3,617.13721","0.0416","172.8739"
"16.20000","0.26812","3,628.87939","0.0420","173.4351"
