Specimen number (included),2
Modulus (Automatic Young's),"253,111.78885",MPa
Length,"26.00000",mm
Specimen ID,"0031"
Thickness,"2.01700",mm
Width,"10.19100",mm
Tensile stress at Tensile strength,"720.62848",MPa
Tensile strain (Strain 1) at Tensile strength,"0.02817",mm/mm

Time,Extension,Load,Tensile strain (Strain 1),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.00000","-0.00963","508.07352","-0.0008","24.7175"
"0.10000","-0.00944","508.10934","-0.0008","24.7192"
"0.20000","-0.00762","541.82727","-0.0001","26.3596"
"0.30000","-0.00513","616.97375","0.0012","30.0154"
"0.40000","-0.00300","670.75580","0.0021","32.6319"
"0.50000","-0.00087","727.74316","0.0034","35.4043"
"0.60000","0.00012","751.10590","0.0039","36.5408"
"0.70000","0.00181","781.52527","0.0045","38.0207"
"0.80000","0.00387","833.66687","0.0053","40.5574"
"0.90000","0.00537","860.65729","0.0063","41.8704"
"1.00000","0.00687","890.06171","0.0066","43.3009"
"1.10000","0.00875","924.92987","0.0072","44.9973"
"1.20000","0.01081","966.89911","0.0078","47.0390"
"1.30000","0.01187","984.13733","0.0085","47.8777"
"1.40000","0.01344","1,004.85541","0.0086","48.8856"
"1.50000","0.01556","1,051.53137","0.0095","51.1563"
"1.60000","0.01712","1,072.93567","0.0100","52.1977"
"1.70000","0.01856","1,097.63440","0.0104","53.3992"
"1.80000","0.02044","1,126.44287","0.0109","54.8007"
"1.90000","0.02256","1,163.99951","0.0117","56.6279"
"2.00000","0.02369","1,180.87061","0.0120","57.4486"
"2.10000","0.02506","1,195.98584","0.0123","58.1840"
"2.20000","0.02719","1,237.68860","0.0131","60.2128"
"2.30000","0.02881","1,260.40540","0.0134","61.3179"
"2.40000","0.03025","1,282.73352","0.0139","62.4042"
"2.50000","0.03206","1,307.45679","0.0144","63.6070"
"2.60000","0.03419","1,341.80505","0.0152","65.2780"
"2.70000","0.03537","1,359.58545","0.0156","66.1430"
"2.80000","0.03662","1,369.89331","0.0155","66.6445"
"2.90000","0.03900","1,410.63977","0.0161","68.6267"
"3.00000","0.04044","1,430.51428","0.0165","69.5936"
"3.10000","0.04194","1,450.99170","0.0172","70.5898"
"3.20000","0.04356","1,471.44409","0.0174","71.5848"
"3.30000","0.04575","1,503.31177","0.0178","73.1352"
"3.40000","0.04719","1,527.27356","0.0187","74.3009"
"3.50000","0.04831","1,532.71851","0.0187","74.5658"
"3.60000","0.05056","1,565.23938","0.0191","76.1479"
"3.70000","0.05212","1,589.83484","0.0198","77.3445"
"3.80000","0.05362","1,608.63806","0.0199","78.2592"
"3.90000","0.05525","1,627.43347","0.0205","79.1736"
"4.00000","0.05737","1,657.27319","0.0212","80.6253"
"4.10000","0.05894","1,681.26111","0.0217","81.7923"
"4.20000","0.06000","1,685.03918","0.0215","81.9761"
"4.30000","0.06206","1,713.46606","0.0221","83.3591"
"4.40000","0.06381","1,741.35767","0.0226","84.7160"
"4.50000","0.06537","1,758.26526","0.0231","85.5385"
"4.60000","0.06694","1,775.06921","0.0236","86.3560"
"4.70000","0.06900","1,803.49609","0.0240","87.7390"
"4.80000","0.07069","1,828.75171","0.0245","88.9676"
"4.90000","0.07169","1,832.88867","0.0246","89.1689"
"5.00000","0.07362","1,855.69055","0.0249","90.2782"
"5.10000","0.07556","1,888.06934","0.0253","91.8534"
"5.20000","0.07706","1,902.83826","0.0259","92.5719"
"5.30000","0.07850","1,918.15967","0.0264","93.3173"
"5.40000","0.08050","1,944.43335","0.0267","94.5955"
"5.50000","0.08244","1,972.99890","0.0270","95.9852"
"5.60000","0.08344","1,975.86328","0.0269","96.1245"
"5.70000","0.08512","1,993.85449","0.0274","96.9998"
"5.80000","0.08725","2,029.93298","0.0283","98.7550"
"5.90000","0.08875","2,041.32886","0.0284","99.3094"
"6.00000","0.09019","2,056.67676","0.0288","100.0561"
"6.10000","0.09225","2,083.20190","0.0294","101.3465"
"6.20000","0.09412","2,110.92529","0.0299","102.6952"
"6.30000","0.09519","2,114.39331","0.0299","102.8639"
"6.40000","0.09675","2,129.70337","0.0301","103.6087"
"6.50000","0.09887","2,166.19092","0.0309","105.3838"
"6.60000","0.10044","2,179.00806","0.0310","106.0074"
"6.70000","0.10194","2,194.57642","0.0314","106.7648"
"6.80000","0.10381","2,217.29663","0.0320","107.8701"
"6.90000","0.10587","2,245.95728","0.0323","109.2644"
"7.00000","0.10694","2,252.25684","0.0326","109.5709"
"7.10000","0.10831","2,262.57349","0.0327","110.0728"
"7.20000","0.11062","2,299.19043","0.0334","111.8542"
"7.30000","0.11212","2,312.64404","0.0335","112.5087"
"7.40000","0.11362","2,327.04810","0.0342","113.2094"
"7.50000","0.11537","2,347.47949","0.0345","114.2034"
"7.60000","0.11750","2,375.36084","0.0350","115.5598"
"7.70000","0.11875","2,386.57446","0.0353","116.1054"
"7.80000","0.11994","2,392.46973","0.0353","116.3922"
"7.90000","0.12225","2,426.25708","0.0360","118.0359"
"8.00000","0.12381","2,442.81030","0.0364","118.8412"
"8.10000","0.12525","2,457.60449","0.0366","119.5609"
"8.20000","0.12700","2,475.03662","0.0368","120.4090"
"8.30000","0.12912","2,500.43188","0.0373","121.6445"
"8.40000","0.13050","2,516.98413","0.0376","122.4497"
"8.50000","0.13162","2,520.04614","0.0374","122.5987"
"8.60000","0.13381","2,549.88916","0.0383","124.0505"
"8.70000","0.13544","2,570.07739","0.0386","125.0327"
"8.80000","0.13694","2,583.70166","0.0388","125.6955"
"8.90000","0.13862","2,599.70605","0.0390","126.4741"
"9.00000","0.14069","2,624.78345","0.0397","127.6941"
"9.10000","0.14225","2,642.90356","0.0401","128.5756"
"9.20000","0.14331","2,645.23633","0.0405","128.6891"
"9.30000","0.14544","2,670.03320","0.0407","129.8955"
"9.40000","0.14719","2,695.08838","0.0413","131.1144"
"9.50000","0.14869","2,707.18970","0.0415","131.7031"
"9.60000","0.15031","2,722.80884","0.0418","132.4630"
"9.70000","0.15231","2,746.19897","0.0421","133.6009"
"9.80000","0.15400","2,766.84399","0.0426","134.6052"
"9.90000","0.15500","2,768.60400","0.0429","134.6909"
"10.00000","0.15694","2,789.07739","0.0430","135.6869"
"10.10000","0.15887","2,818.44409","0.0438","137.1156"
"10.20000","0.16037","2,828.41113","0.0436","137.6004"
"10.30000","0.16187","2,842.77612","0.0438","138.2993"
"10.40000","0.16387","2,866.66504","0.0445","139.4615"
"10.50000","0.16581","2,889.43823","0.0449","140.5694"
"10.60000","0.16681","2,890.00879","0.0451","140.5971"
"10.70000","0.16850","2,904.89502","0.0454","141.3214"
"10.80000","0.17050","2,937.26050","0.0461","142.8959"
