Specimen number (included),4
Modulus (Automatic Young's),"260,333.27229",MPa
Length,"26.00000",mm
Specimen ID,"0032"
Thickness,"2.01300",mm
Width,"10.16600",mm
Tensile stress at Tensile strength,"782.96729",MPa
Tensile strain (Strain 1) at Tensile strength,"0.03394",mm/mm

Time,Extension,Load,Tensile strain (Strain 1),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.00000","0.00194","508.74292","-0.0005","24.8602"
"0.10000","0.00206","508.88232","-0.0007","24.8670"
"0.20000","0.00406","544.18121","0.0001","26.5919"
"0.30000","0.00644","617.09613","0.0014","30.1550"
"0.40000","0.00850","667.95062","0.0022","32.6400"
"0.50000","0.01069","720.99359","0.0033","35.2320"
"0.60000","0.01181","749.22235","0.0039","36.6114"
"0.70000","0.01325","772.84607","0.0043","37.7658"
"0.80000","0.01544","823.71942","0.0054","40.2518"
"0.90000","0.01694","849.65369","0.0056","41.5191"
"1.00000","0.01850","879.07587","0.0064","42.9569"
"1.10000","0.02031","910.28235","0.0068","44.4818"
"1.20000","0.02244","949.60614","0.0075","46.4034"
"1.30000","0.02356","970.97217","0.0079","47.4475"
"1.40000","0.02487","986.95764","0.0082","48.2286"
"1.50000","0.02712","1,031.38672","0.0090","50.3997"
"1.60000","0.02862","1,054.81421","0.0092","51.5445"
"1.70000","0.03019","1,082.07178","0.0101","52.8764"
"1.80000","0.03194","1,108.65955","0.0104","54.1757"
"1.90000","0.03394","1,141.64087","0.0111","55.7873"
"2.00000","0.03537","1,168.37537","0.0115","57.0937"
"2.10000","0.03650","1,179.10913","0.0116","57.6183"
"2.20000","0.03887","1,219.09302","0.0124","59.5721"
"2.30000","0.04037","1,243.53101","0.0127","60.7663"
"2.40000","0.04181","1,265.49316","0.0134","61.8395"
"2.50000","0.04344","1,288.24707","0.0138","62.9514"
"2.60000","0.04550","1,320.43237","0.0141","64.5242"
"2.70000","0.04712","1,349.32251","0.0147","65.9359"
"2.80000","0.04819","1,355.78516","0.0150","66.2517"
"2.90000","0.05031","1,387.94678","0.0156","67.8233"
"3.00000","0.05200","1,416.14465","0.0158","69.2012"
"3.10000","0.05356","1,436.15454","0.0165","70.1790"
"3.20000","0.05512","1,456.28345","0.0164","71.1626"
"3.30000","0.05719","1,486.96521","0.0173","72.6619"
"3.40000","0.05887","1,513.05408","0.0177","73.9368"
"3.50000","0.05987","1,517.50256","0.0178","74.1542"
"3.60000","0.06187","1,545.29834","0.0183","75.5124"
"3.70000","0.06369","1,576.02759","0.0189","77.0140"
"3.80000","0.06525","1,592.49695","0.0193","77.8188"
"3.90000","0.06681","1,610.61023","0.0194","78.7040"
"4.00000","0.06875","1,637.88818","0.0199","80.0369"
"4.10000","0.07056","1,664.51099","0.0205","81.3379"
"4.20000","0.07162","1,670.40625","0.0208","81.6259"
"4.30000","0.07344","1,692.20605","0.0210","82.6912"
"4.40000","0.07544","1,725.68970","0.0216","84.3274"
"4.50000","0.07694","1,739.89978","0.0219","85.0218"
"4.60000","0.07837","1,754.99731","0.0222","85.7596"
"4.70000","0.08031","1,781.34351","0.0226","87.0470"
"4.80000","0.08237","1,809.95203","0.0230","88.4450"
"4.90000","0.08337","1,814.22754","0.0234","88.6539"
"5.00000","0.08500","1,830.82654","0.0234","89.4650"
"5.10000","0.08712","1,867.41675","0.0242","91.2531"
"5.20000","0.08862","1,878.96399","0.0241","91.8173"
"5.30000","0.09006","1,895.08521","0.0243","92.6051"
"5.40000","0.09212","1,920.23181","0.0253","93.8339"
"5.50000","0.09400","1,945.76660","0.0256","95.0817"
"5.60000","0.09512","1,952.09436","0.0260","95.3909"
"5.70000","0.09656","1,964.75684","0.0259","96.0097"
"5.80000","0.09881","2,001.14014","0.0268","97.7876"
