Specimen number (included),7
Modulus (Automatic Young's),"147,986.08551",MPa
Length,"26.00000",mm
Specimen ID,"003"
Thickness,"1.94400",mm
Width,"10.14300",mm
Tensile stress at Tensile strength,"194.31363",MPa
Tensile strain (Strain 1) at Tensile strength,"0.01871",mm/mm

Time,Extension,Load,Tensile strain (Strain 1),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.00000","0.00994","493.48465","-0.0002","25.0271"
"0.10000","0.01006","493.69992","0.0002","25.0380"
"0.20000","0.01181","517.17206","0.0007","26.2284"
"0.30000","0.01412","562.57172","0.0022","28.5309"
"0.40000","0.01656","618.95276","0.0041","31.3903"
"0.50000","0.01819","649.04480","0.0051","32.9164"
"0.60000","0.01975","675.94342","0.0060","34.2805"
"0.70000","0.02181","708.86633","0.0068","35.9502"
"0.80000","0.02350","740.66351","0.0081","37.5628"
"0.90000","0.02456","751.18951","0.0087","38.0967"
"1.00000","0.02656","778.68518","0.0092","39.4911"
"1.10000","0.02831","809.86407","0.0103","41.0723"
"1.20000","0.02987","829.54059","0.0112","42.0702"
"1.30000","0.03137","848.06860","0.0119","43.0099"
"1.40000","0.03337","875.58960","0.0130","44.4056"
"1.50000","0.03525","903.29779","0.0138","45.8108"
"1.60000","0.03625","910.33948","0.0141","46.1680"
"1.70000","0.03812","931.22552","0.0148","47.2272"
"1.80000","0.04006","962.30817","0.0159","48.8036"
"1.90000","0.04156","977.74609","0.0164","49.5865"
"2.00000","0.04306","994.92444","0.0169","50.4577"
"2.10000","0.04494","1,018.47192","0.0181","51.6519"
"2.20000","0.04700","1,046.41467","0.0189","53.0690"
"2.30000","0.04800","1,053.58765","0.0194","53.4328"
"2.40000","0.04969","1,068.78052","0.0197","54.2033"
"2.50000","0.05169","1,099.33215","0.0209","55.7527"
"2.60000","0.05325","1,113.03101","0.0216","56.4475"
"2.70000","0.05475","1,129.61414","0.0222","57.2885"
"2.80000","0.05662","1,150.71570","0.0229","58.3587"
"2.90000","0.05875","1,176.03076","0.0239","59.6425"
"3.00000","0.05975","1,182.87573","0.0245","59.9897"
"3.00600","0.05981","1,183.16235","0.0246","60.0042"
"24.12600","0.06062","1,126.57861","0.0277","57.1345"
"24.23400","0.06062","1,126.51880","0.0277","57.1315"
"24.33400","0.06206","1,139.33667","0.0332","57.7816"
"24.43400","0.06469","1,201.50330","0.0433","60.9344"
"24.53400","0.06631","1,236.49597","0.0496","62.7090"
"24.63400","0.06812","1,269.69910","0.0565","64.3929"
"24.73400","0.07031","1,307.48096","0.0649","66.3090"
"24.83400","0.07150","1,326.87646","0.0695","67.2927"
"24.93400","0.07275","1,336.09717","0.0743","67.7603"
"25.03400","0.07500","1,363.17651","0.0830","69.1336"
"25.13400","0.07656","1,378.54016","0.0890","69.9128"
"25.23400","0.07800","1,389.69922","0.0945","70.4787"
"25.33400","0.07975","1,403.36987","0.1012","71.1720"
"25.43400","0.08187","1,423.54932","0.1094","72.1954"
"25.53400","0.08325","1,434.99756","0.1147","72.7760"
"25.63400","0.08437","1,436.99890","0.1190","72.8775"
"25.73400","0.08669","1,461.63660","0.1279","74.1270"
"25.83400","0.08819","1,476.48645","0.1337","74.8802"
"25.93400","0.08969","1,487.00610","0.1395","75.4137"
"26.03400","0.09137","1,499.96472","0.1460","76.0709"
"26.13400","0.09356","1,523.05676","0.1544","77.2420"
"26.23400","0.09500","1,534.43567","0.1599","77.8191"
"26.33400","0.09606","1,536.39417","0.1640","77.9184"
"26.43400","0.09819","1,557.74939","0.1722","79.0014"
"26.53400","0.09987","1,575.83313","0.1787","79.9185"
"26.63400","0.10144","1,587.26965","0.1847","80.4985"
"26.73400","0.10306","1,598.50049","0.1909","81.0681"
"26.83400","0.10506","1,618.23889","0.1986","82.0692"
"26.93400","0.10675","1,633.78918","0.2051","82.8578"
"27.03400","0.10775","1,634.97998","0.2089","82.9182"
"27.13400","0.10975","1,651.85071","0.2166","83.7738"
"27.23400","0.11162","1,673.91040","0.2238","84.8925"
"27.33400","0.11312","1,682.80249","0.2296","85.3435"
"27.43400","0.11462","1,693.18799","0.2354","85.8702"
"27.53400","0.11656","1,712.61877","0.2428","86.8556"
"27.63400","0.11856","1,731.03552","0.2505","87.7896"
"27.73400","0.11950","1,731.17615","0.2541","87.7968"
"27.83400","0.12131","1,743.80688","0.2611","88.4373"
"27.93400","0.12325","1,768.57092","0.2686","89.6933"
"28.03400","0.12481","1,776.48547","0.2746","90.0946"
"28.13400","0.12631","1,786.80139","0.2803","90.6178"
"28.23400","0.12825","1,803.97253","0.2878","91.4886"
"28.33400","0.13025","1,822.63147","0.2955","92.4349"
"28.43400","0.13125","1,823.98889","0.2993","92.5038"
"28.53400","0.13281","1,833.15723","0.3053","92.9688"
"28.63400","0.13500","1,859.59546","0.3137","94.3096"
"28.73400","0.13650","1,867.12219","0.3195","94.6913"
"28.83400","0.13800","1,877.39563","0.3253","95.2123"
"28.93400","0.13987","1,893.27258","0.3325","96.0175"
"29.03400","0.14187","1,911.40454","0.3402","96.9371"
"29.13400","0.14300","1,915.54761","0.3445","97.1472"
"29.23400","0.14444","1,921.36096","0.3500","97.4420"
"29.33400","0.14675","1,948.02112","0.3589","98.7941"
"29.43400","0.14819","1,955.00684","0.3645","99.1484"
"29.53400","0.14969","1,963.91663","0.3702","99.6002"
"29.63400","0.15156","1,979.34680","0.3774","100.3828"
"29.73400","0.15362","1,995.99438","0.3854","101.2271"
