Specimen number (included),4
Modulus (Automatic Young's),"165,318.40716",MPa
Length,"26.00000",mm
Specimen ID,"006"
Thickness,"1.92300",mm
Width,"10.13300",mm
Tensile stress at Tensile strength,"180.85825",MPa
Tensile strain (Strain 1) at Tensile strength,"0.01604",mm/mm

Time,Extension,Load,Tensile strain (Strain 1),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.00000","0.01375","498.28357","-0.0010","25.5717"
"0.10000","0.01394","499.04858","-0.0011","25.6109"
"0.20000","0.01619","530.13245","-0.0001","27.2061"
"0.30000","0.01844","583.78455","0.0015","29.9595"
"0.40000","0.02031","618.82654","0.0026","31.7579"
"0.50000","0.02250","656.48553","0.0035","33.6905"
"0.60000","0.02381","683.47504","0.0042","35.0756"
"0.70000","0.02500","697.92963","0.0049","35.8174"
"0.80000","0.02731","732.19141","0.0059","37.5757"
"0.90000","0.02881","756.12842","0.0067","38.8042"
"1.00000","0.03031","776.41394","0.0071","39.8452"
"1.10000","0.03206","797.34259","0.0078","40.9192"
"1.20000","0.03406","826.47412","0.0085","42.4143"
"1.30000","0.03556","850.10400","0.0095","43.6269"
"1.40000","0.03669","858.55731","0.0095","44.0608"
"1.50000","0.03894","887.42645","0.0107","45.5423"
"1.60000","0.04050","910.87769","0.0114","46.7458"
"1.70000","0.04200","927.84113","0.0120","47.6164"
"1.80000","0.04362","945.58673","0.0128","48.5271"
"1.90000","0.04556","969.70184","0.0136","49.7646"
"2.00000","0.04737","994.34320","0.0144","51.0292"
"2.10000","0.04837","999.70062","0.0147","51.3042"
"2.20000","0.05044","1,021.60126","0.0151","52.4281"
"2.30000","0.05212","1,046.12402","0.0162","53.6866"
"2.40000","0.05369","1,060.76831","0.0164","54.4381"
"2.50000","0.05525","1,076.76074","0.0172","55.2589"
"2.60000","0.05725","1,100.23706","0.0177","56.4636"
"2.70000","0.05906","1,122.76392","0.0189","57.6197"
"2.80000","0.06006","1,126.67200","0.0190","57.8203"
"2.90000","0.06194","1,144.96594","0.0196","58.7591"
"2.98600","0.06369","1,169.42139","0.0209","60.0142"
"18.60400","0.06437","1,113.43481","0.0235","57.1409"
"18.70400","0.06437","1,113.52332","0.0235","57.1455"
"18.80400","0.06487","1,116.15479","0.0255","57.2805"
"18.90400","0.06731","1,156.76733","0.0348","59.3648"
"19.00400","0.07012","1,214.80835","0.0456","62.3434"
"19.10400","0.07150","1,252.09351","0.0509","64.2569"
"19.20400","0.07281","1,268.91296","0.0560","65.1200"
"19.30400","0.07506","1,302.42712","0.0646","66.8399"
"19.40400","0.07662","1,320.92957","0.0706","67.7895"
"19.50400","0.07806","1,335.02087","0.0762","68.5126"
"19.60400","0.07981","1,350.08630","0.0829","69.2858"
"19.70400","0.08194","1,371.36829","0.0911","70.3780"
"19.80400","0.08325","1,382.88989","0.0961","70.9693"
"19.90400","0.08444","1,385.84802","0.1007","71.1211"
"20.00400","0.08681","1,411.27991","0.1098","72.4262"
"20.10400","0.08825","1,424.54871","0.1154","73.1072"
"20.20400","0.08969","1,435.07397","0.1209","73.6473"
"20.30400","0.09150","1,448.65686","0.1279","74.3444"
"20.40400","0.09369","1,471.42639","0.1363","75.5129"
"20.50400","0.09500","1,482.89014","0.1413","76.1012"
"20.60400","0.09612","1,485.97034","0.1456","76.2593"
"20.70400","0.09831","1,507.79382","0.1541","77.3793"
"20.80400","0.10000","1,525.46545","0.1606","78.2862"
"20.90400","0.10150","1,536.85742","0.1663","78.8708"
"21.00400","0.10312","1,549.40417","0.1726","79.5147"
"21.10400","0.10519","1,568.84119","0.1805","80.5122"
"21.20400","0.10681","1,584.71411","0.1868","81.3268"
"21.30400","0.10781","1,585.97656","0.1906","81.3916"
"21.40400","0.10987","1,604.30164","0.1985","82.3320"
"21.50400","0.11169","1,624.88928","0.2055","83.3885"
"21.60400","0.11319","1,635.28162","0.2113","83.9219"
"21.70400","0.11475","1,645.79285","0.2173","84.4613"
"21.80400","0.11662","1,663.78687","0.2245","85.3848"
"21.90400","0.11862","1,684.06067","0.2322","86.4252"
"22.00400","0.11956","1,683.98865","0.2358","86.4215"
"22.10400","0.12137","1,698.22595","0.2428","87.1522"
"22.20400","0.12331","1,721.74109","0.2502","88.3589"
"22.30400","0.12487","1,731.01440","0.2562","88.8348"
"22.40400","0.12637","1,741.80859","0.2620","89.3888"
"22.50400","0.12831","1,759.08301","0.2694","90.2753"
"22.60400","0.13031","1,777.72327","0.2771","91.2319"
"22.70400","0.13131","1,778.91772","0.2810","91.2932"
"22.80400","0.13294","1,790.54565","0.2872","91.8900"
"22.90400","0.13500","1,814.78723","0.2952","93.1340"
"23.00400","0.13656","1,824.10852","0.3012","93.6124"
"23.10400","0.13806","1,833.64429","0.3069","94.1018"
"23.20400","0.14000","1,850.23645","0.3144","94.9533"
"23.30400","0.14194","1,868.30847","0.3219","95.8807"
"23.40400","0.14306","1,872.70825","0.3262","96.1065"
"23.50400","0.14456","1,879.50916","0.3319","96.4555"
"23.60400","0.14681","1,905.94043","0.3406","97.8120"
"23.70400","0.14831","1,913.44324","0.3464","98.1970"
"23.80400","0.14975","1,922.70825","0.3519","98.6725"
"23.90400","0.15162","1,938.71765","0.3591","99.4941"
"24.00400","0.15369","1,955.56116","0.3670","100.3585"
"24.10400","0.15487","1,961.95337","0.3716","100.6865"
"24.20400","0.15619","1,966.22815","0.3767","100.9059"
"24.30400","0.15844","1,990.49597","0.3853","102.1513"
"24.40400","0.15994","1,999.01477","0.3911","102.5885"
"24.50400","0.16144","2,008.93921","0.3969","103.0978"
"24.60400","0.16325","2,022.55273","0.4038","103.7965"
"24.70400","0.16531","2,039.18555","0.4118","104.6500"
"24.80400","0.16662","2,047.47742","0.4168","105.0756"
"24.90400","0.16781","2,049.21729","0.4214","105.1649"
"25.00400","0.17006","2,070.90698","0.4300","106.2780"
"25.10400","0.17162","2,083.66504","0.4360","106.9327"
"25.20400","0.17312","2,092.13599","0.4418","107.3674"
"25.30400","0.17487","2,103.95728","0.4485","107.9741"
"25.40400","0.17681","2,118.79321","0.4560","108.7355"
"25.50400","0.17837","2,131.38452","0.4620","109.3816"
