Specimen number (included),6
Modulus (Automatic Young's),"158,307.01534",MPa
Length,"26.00000",mm
Specimen ID,"004"
Thickness,"2.02100",mm
Width,"10.14400",mm
Tensile stress at Tensile strength,"190.41145",MPa
Tensile strain (Strain 1) at Tensile strength,"0.02646",mm/mm

Time,Extension,Load,Tensile strain (Strain 1),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.00000","0.01381","480.66965","-0.0004","23.4461"
"0.10000","0.01394","480.74030","-0.0005","23.4496"
"0.20000","0.01619","512.04236","0.0003","24.9764"
"0.30000","0.01844","564.41809","0.0021","27.5312"
"0.40000","0.02031","597.33948","0.0029","29.1371"
"0.50000","0.02256","629.56262","0.0039","30.7088"
"0.60000","0.02381","648.48846","0.0042","31.6320"
"0.70000","0.02506","657.61047","0.0044","32.0770"
"0.80000","0.02731","687.47418","0.0053","33.5336"
"0.90000","0.02881","704.02020","0.0059","34.3407"
"1.00000","0.03031","719.12775","0.0064","35.0776"
"1.10000","0.03206","735.78546","0.0068","35.8902"
"1.20000","0.03412","760.08838","0.0077","37.0756"
"1.30000","0.03556","776.64331","0.0082","37.8831"
"1.40000","0.03669","782.24402","0.0083","38.1563"
"1.50000","0.03900","807.06897","0.0092","39.3673"
"1.60000","0.04050","824.35321","0.0097","40.2103"
"1.70000","0.04200","838.25012","0.0104","40.8882"
"1.80000","0.04362","852.48053","0.0105","41.5823"
"1.90000","0.04562","872.79401","0.0115","42.5732"
"2.00000","0.04737","891.77686","0.0116","43.4991"
"2.10000","0.04837","893.74121","0.0118","43.5950"
"2.20000","0.05044","913.51031","0.0125","44.5593"
"2.30000","0.05219","933.36786","0.0133","45.5279"
"2.40000","0.05375","944.94427","0.0135","46.0925"
"2.50000","0.05525","957.31018","0.0139","46.6957"
"2.60000","0.05731","977.07489","0.0147","47.6598"
"2.70000","0.05906","994.33801","0.0151","48.5019"
"2.80000","0.06006","995.56268","0.0153","48.5616"
"2.90000","0.06200","1,011.77173","0.0159","49.3523"
"3.00000","0.06387","1,033.33826","0.0162","50.4042"
"3.10000","0.06544","1,043.72791","0.0165","50.9110"
"3.20000","0.06694","1,054.22144","0.0171","51.4229"
"3.30000","0.06887","1,071.75952","0.0174","52.2783"
"3.40000","0.07087","1,091.25452","0.0185","53.2293"
"3.50000","0.07187","1,091.21619","0.0184","53.2274"
"3.60000","0.07356","1,103.98547","0.0187","53.8503"
"3.70000","0.07562","1,127.07593","0.0194","54.9766"
"3.80000","0.07719","1,134.92834","0.0198","55.3596"
"3.90000","0.07856","1,144.51392","0.0203","55.8272"
"4.00000","0.08050","1,161.45142","0.0208","56.6533"
"4.10000","0.08256","1,179.63489","0.0216","57.5403"
"4.20000","0.08356","1,181.30627","0.0217","57.6218"
"4.30000","0.08512","1,189.47937","0.0220","58.0205"
"4.40000","0.08731","1,215.59778","0.0228","59.2945"
"4.50000","0.08875","1,220.24927","0.0232","59.5214"
"4.60000","0.09025","1,230.01892","0.0234","59.9979"
"4.60200","0.09025","1,230.25476","0.0234","60.0094"
"26.85000","0.09137","1,173.13489","0.0277","57.2232"
"26.95000","0.09137","1,173.38501","0.0277","57.2354"
"27.05000","0.09181","1,174.87830","0.0294","57.3083"
"27.15000","0.09456","1,216.97900","0.0399","59.3619"
"27.25000","0.09612","1,263.31946","0.0460","61.6223"
"27.35000","0.09844","1,300.25928","0.0549","63.4241"
"27.45000","0.10012","1,322.10645","0.0613","64.4898"
"27.55000","0.10169","1,330.55762","0.0674","64.9020"
"27.65000","0.10337","1,341.02686","0.0738","65.4127"
"27.75000","0.10544","1,355.89490","0.0818","66.1379"
"27.85000","0.10687","1,363.53003","0.0873","66.5103"
"27.95000","0.10800","1,362.55701","0.0916","66.4629"
"28.05000","0.11019","1,381.38257","0.1000","67.3811"
"28.15000","0.11187","1,394.11133","0.1065","68.0020"
"28.25000","0.11337","1,400.70825","0.1123","68.3238"
"28.35000","0.11494","1,409.28687","0.1183","68.7423"
"28.45000","0.11694","1,424.53784","0.1260","69.4862"
"28.55000","0.11869","1,436.85974","0.1327","70.0872"
"28.65000","0.11969","1,434.78174","0.1366","69.9859"
"28.75000","0.12169","1,449.62500","0.1443","70.7099"
"28.85000","0.12350","1,465.21497","0.1512","71.4703"
"28.95000","0.12506","1,471.21558","0.1573","71.7630"
"29.05000","0.12662","1,479.31018","0.1633","72.1579"
"29.15000","0.12856","1,493.97534","0.1707","72.8732"
"29.25000","0.13044","1,506.85022","0.1779","73.5012"
"29.35000","0.13144","1,504.98645","0.1818","73.4103"
"29.45000","0.13319","1,516.81262","0.1885","73.9872"
"29.55000","0.13519","1,535.95117","0.1962","74.9207"
"29.65000","0.13675","1,540.06433","0.2022","75.1213"
"29.75000","0.13825","1,547.66589","0.2080","75.4921"
"29.85000","0.14019","1,562.55750","0.2154","76.2185"
"29.95000","0.14212","1,575.23096","0.2229","76.8367"
"30.05000","0.14319","1,574.86353","0.2270","76.8188"
"30.15000","0.14481","1,583.15173","0.2332","77.2231"
"30.25000","0.14694","1,604.71240","0.2414","78.2747"
"30.35000","0.14844","1,607.41931","0.2472","78.4068"
"30.45000","0.14994","1,615.41772","0.2529","78.7969"
"30.55000","0.15187","1,628.46338","0.2604","79.4333"
"30.65000","0.15387","1,642.41138","0.2681","80.1136"
"30.75000","0.15494","1,641.83301","0.2722","80.0854"
"30.85000","0.15644","1,647.64844","0.2779","80.3691"
"30.95000","0.15862","1,669.53406","0.2863","81.4366"
"31.05000","0.16012","1,672.73987","0.2921","81.5930"
"31.15000","0.16162","1,680.73047","0.2979","81.9828"
"31.25000","0.16350","1,692.62195","0.3051","82.5628"
"31.35000","0.16556","1,705.98267","0.3130","83.2145"
"31.45000","0.16675","1,708.00537","0.3176","83.3132"
"31.55000","0.16800","1,710.38306","0.3224","83.4292"
"31.65000","0.17031","1,732.08960","0.3313","84.4880"
"31.75000","0.17181","1,736.94702","0.3371","84.7249"
"31.85000","0.17331","1,744.03699","0.3428","85.0707"
"31.95000","0.17512","1,755.18323","0.3498","85.6144"
"32.05000","0.17706","1,766.72021","0.3573","86.1772"
"32.15000","0.17850","1,773.11780","0.3628","86.4892"
"32.25000","0.17962","1,773.18860","0.3671","86.4927"
"32.35000","0.18194","1,792.57434","0.3760","87.4383"
"32.45000","0.18344","1,798.93713","0.3818","87.7486"
"32.55000","0.18500","1,805.59424","0.3878","88.0734"
"32.65000","0.18675","1,814.85767","0.3945","88.5252"
"32.75000","0.18869","1,827.53467","0.4020","89.1436"
"32.85000","0.19025","1,835.45447","0.4080","89.5299"
"32.95000","0.19131","1,833.88428","0.4121","89.4533"
"33.05000","0.19344","1,849.65845","0.4202","90.2227"
"33.15000","0.19519","1,860.95129","0.4270","90.7736"
"33.25000","0.19669","1,865.93555","0.4327","91.0167"
"33.35000","0.19831","1,874.46350","0.4390","91.4327"
"33.45000","0.20025","1,886.41431","0.4464","92.0156"
"33.55000","0.20206","1,896.92065","0.4534","92.5281"
"33.65000","0.20300","1,893.95081","0.4570","92.3832"
"33.75000","0.20494","1,906.93823","0.4645","93.0167"
"33.85000","0.20687","1,921.97913","0.4719","93.7504"
"33.95000","0.20837","1,924.81555","0.4777","93.8887"
"34.05000","0.21000","1,932.05554","0.4839","94.2419"
"34.15000","0.21187","1,944.10620","0.4912","94.8297"
"34.25000","0.21375","1,956.23877","0.4984","95.4215"
"34.35000","0.21475","1,953.03442","0.5022","95.2652"
"34.45000","0.21656","1,962.99011","0.5092","95.7508"
"34.55000","0.21856","1,980.73181","0.5169","96.6162"
"34.65000","0.22006","1,981.99268","0.5226","96.6777"
"34.75000","0.22162","1,988.59961","0.5287","97.0000"
"34.85000","0.22344","2,000.55762","0.5356","97.5833"
"34.95000","0.22550","2,013.22974","0.5436","98.2014"
"35.05000","0.22656","2,010.47400","0.5476","98.0670"
"35.15000","0.22812","2,017.23132","0.5537","98.3966"
"35.25000","0.23025","2,036.58545","0.5618","99.3407"
"35.35000","0.23175","2,037.76123","0.5676","99.3980"
"35.45000","0.23325","2,044.38098","0.5734","99.7209"
"35.55000","0.23519","2,055.91089","0.5808","100.2833"
"35.65000","0.23725","2,067.73462","0.5887","100.8601"
"35.75000","0.23831","2,065.49390","0.5928","100.7508"
"35.85000","0.23969","2,070.06885","0.5981","100.9739"
"35.95000","0.24200","2,091.20654","0.6070","102.0050"
"36.05000","0.24344","2,093.24219","0.6125","102.1043"
"36.15000","0.24500","2,098.61816","0.6186","102.3665"
"36.25000","0.24675","2,108.81714","0.6253","102.8640"
"36.35000","0.24881","2,120.19263","0.6332","103.4189"
"36.45000","0.25006","2,123.14966","0.6380","103.5631"
"36.55000","0.25131","2,123.90942","0.6428","103.6002"
"36.65000","0.25362","2,144.06299","0.6517","104.5832"
"36.75000","0.25512","2,146.86328","0.6575","104.7198"
"36.85000","0.25662","2,153.10352","0.6633","105.0242"
"36.95000","0.25837","2,161.37012","0.6700","105.4274"
"37.05000","0.26044","2,173.34888","0.6779","106.0117"
"37.15000","0.26187","2,177.94800","0.6835","106.2361"
"37.25000","0.26300","2,176.80713","0.6878","106.1804"
"37.35000","0.26525","2,194.62793","0.6964","107.0497"
"37.45000","0.26675","2,199.15552","0.7022","107.2705"
"37.55000","0.26831","2,205.98486","0.7082","107.6036"
"37.65000","0.27000","2,213.45166","0.7147","107.9679"
"37.75000","0.27200","2,224.34668","0.7224","108.4993"
"37.85000","0.27356","2,231.09790","0.7284","108.8286"
"37.95000","0.27469","2,228.61206","0.7327","108.7074"
"38.05000","0.27681","2,243.56714","0.7409","109.4368"
"38.15000","0.27844","2,252.54028","0.7472","109.8745"
"38.25000","0.28006","2,258.31836","0.7534","110.1564"
"38.35000","0.28169","2,263.61694","0.7597","110.4148"
"38.45000","0.28356","2,274.53931","0.7669","110.9476"
"38.55000","0.28544","2,285.67920","0.7741","111.4910"
"38.65000","0.28637","2,279.52490","0.7777","111.1908"
"38.75000","0.28844","2,293.43872","0.7856","111.8695"
"38.85000","0.29019","2,304.83789","0.7924","112.4255"
"38.95000","0.29169","2,307.80737","0.7981","112.5703"
"39.05000","0.29325","2,313.72974","0.8041","112.8592"
"39.15000","0.29519","2,325.57422","0.8116","113.4370"
"39.25000","0.29719","2,336.61255","0.8193","113.9754"
"39.35000","0.29812","2,331.62134","0.8229","113.7319"
"39.45000","0.29994","2,341.68896","0.8299","114.2230"
"39.55000","0.30181","2,355.81445","0.8371","114.9120"
"39.65000","0.30337","2,358.02881","0.8431","115.0201"
"39.75000","0.30494","2,363.50708","0.8491","115.2873"
"39.85000","0.30681","2,375.01245","0.8563","115.8485"
"39.95000","0.30881","2,385.25708","0.8640","116.3482"
"40.05000","0.30981","2,380.37549","0.8678","116.1101"
"40.15000","0.31150","2,388.18481","0.8743","116.4910"
"40.25000","0.31356","2,405.63037","0.8823","117.3420"
"40.35000","0.31512","2,406.87793","0.8883","117.4028"
"40.45000","0.31662","2,412.17798","0.8940","117.6613"
"40.55000","0.31844","2,421.64136","0.9010","118.1229"
"40.65000","0.32056","2,434.29004","0.9092","118.7399"
"40.75000","0.32162","2,430.83740","0.9133","118.5715"
"40.85000","0.32306","2,434.11035","0.9188","118.7312"
"40.95000","0.32531","2,453.48511","0.9274","119.6762"
"41.05000","0.32681","2,454.81909","0.9332","119.7413"
"41.15000","0.32831","2,459.77637","0.9390","119.9831"
"41.25000","0.33006","2,467.62354","0.9457","120.3659"
"41.35000","0.33219","2,479.98267","0.9539","120.9687"
"41.45000","0.33337","2,479.80884","0.9585","120.9602"
"41.55000","0.33469","2,479.96851","0.9635","120.9680"
"41.65000","0.33700","2,499.19873","0.9724","121.9060"
"41.75000","0.33844","2,500.85352","0.9779","121.9868"
"41.85000","0.33994","2,505.63257","0.9837","122.2199"
"41.95000","0.34175","2,513.23950","0.9907","122.5909"
"42.05000","0.34394","2,525.67285","0.9991","123.1974"
"42.15000","0.34512","2,524.90015","1.0037","123.1597"
"42.25000","0.34631","2,524.40576","1.0082","123.1356"
"42.35000","0.34856","2,541.92480","1.0169","123.9901"
"42.45000","0.35012","2,546.44507","1.0229","124.2106"
"42.55000","0.35169","2,550.88892","1.0289","124.4274"
"42.65000","0.35337","2,556.84619","1.0354","124.7180"
"42.75000","0.35537","2,567.29224","1.0431","125.2275"
"42.85000","0.35687","2,572.33594","1.0488","125.4735"
"42.95000","0.35800","2,569.02441","1.0532","125.3120"
"43.05000","0.36012","2,583.38794","1.0613","126.0126"
"43.15000","0.36187","2,591.33252","1.0681","126.4001"
"43.25000","0.36337","2,594.25488","1.0738","126.5427"
"43.35000","0.36494","2,598.98218","1.0799","126.7733"
"43.45000","0.36694","2,610.88916","1.0875","127.3541"
"43.55000","0.36869","2,617.72168","1.0943","127.6874"
"43.65000","0.36969","2,613.02002","1.0981","127.4580"
"43.75000","0.37169","2,625.17749","1.1058","128.0510"
"43.85000","0.37350","2,635.08960","1.1128","128.5345"
"43.95000","0.37506","2,638.65918","1.1188","128.7086"
"44.05000","0.37662","2,643.17627","1.1248","128.9290"
"44.15000","0.37856","2,652.18652","1.1323","129.3685"
"44.25000","0.38044","2,660.36792","1.1395","129.7676"
"44.35000","0.38144","2,654.35474","1.1433","129.4742"
"44.45000","0.38319","2,663.85156","1.1500","129.9375"
"44.55000","0.38519","2,678.27588","1.1577","130.6411"
"44.65000","0.38675","2,679.80811","1.1637","130.7158"
"44.75000","0.38831","2,683.68115","1.1698","130.9047"
"44.85000","0.39019","2,693.58276","1.1770","131.3877"
"44.95000","0.39206","2,702.03467","1.1842","131.8000"
"45.05000","0.39319","2,698.57422","1.1885","131.6312"
"45.15000","0.39481","2,704.51562","1.1948","131.9210"
"45.25000","0.39694","2,721.74634","1.2029","132.7615"
"45.35000","0.39844","2,720.92554","1.2087","132.7215"
"45.45000","0.39994","2,724.90649","1.2145","132.9156"
"45.55000","0.40181","2,736.31274","1.2217","133.4720"
"45.65000","0.40387","2,744.67676","1.2296","133.8800"
"45.75000","0.40494","2,741.94971","1.2337","133.7470"
"45.85000","0.40637","2,744.31177","1.2392","133.8622"
"45.95000","0.40862","2,763.02051","1.2479","134.7747"
"46.05000","0.41012","2,762.47729","1.2537","134.7483"
"46.15000","0.41162","2,767.35669","1.2594","134.9863"
"46.25000","0.41350","2,777.15137","1.2666","135.4640"
"46.35000","0.41550","2,784.64917","1.2743","135.8298"
"46.45000","0.41669","2,785.79639","1.2789","135.8857"
"46.55000","0.41800","2,784.64380","1.2839","135.8295"
"46.65000","0.42031","2,803.33057","1.2928","136.7410"
"46.75000","0.42181","2,804.42920","1.2986","136.7946"
"46.85000","0.42337","2,808.09985","1.3046","136.9736"
"46.95000","0.42519","2,815.75488","1.3116","137.3470"
"47.05000","0.42712","2,824.50513","1.3190","137.7738"
"47.15000","0.42850","2,827.22705","1.3243","137.9066"
"47.25000","0.42962","2,825.13330","1.3287","137.8045"
"47.35000","0.43194","2,841.92139","1.3375","138.6234"
"47.45000","0.43350","2,845.22363","1.3436","138.7845"
"47.55000","0.43500","2,849.12329","1.3493","138.9747"
"47.65000","0.43675","2,855.33350","1.3561","139.2776"
"47.75000","0.43875","2,864.43677","1.3637","139.7216"
"47.85000","0.44025","2,868.76831","1.3695","139.9329"
"47.95000","0.44131","2,864.36035","1.3736","139.7179"
"48.05000","0.44337","2,877.57861","1.3815","140.3627"
"48.15000","0.44512","2,886.05029","1.3883","140.7759"
"48.25000","0.44662","2,888.41064","1.3940","140.8910"
"48.35000","0.44831","2,893.72925","1.4005","141.1505"
"48.45000","0.45031","2,903.36743","1.4082","141.6206"
"48.55000","0.45206","2,910.31909","1.4149","141.9597"
"48.65000","0.45300","2,903.74731","1.4186","141.6391"
"48.75000","0.45494","2,914.44922","1.4260","142.1611"
"48.85000","0.45687","2,927.86157","1.4335","142.8154"
"48.95000","0.45837","2,926.80420","1.4392","142.7638"
"49.05000","0.46000","2,932.76636","1.4455","143.0546"
"49.15000","0.46187","2,941.55664","1.4527","143.4834"
"49.25000","0.46381","2,950.42871","1.4601","143.9162"
"49.35000","0.46475","2,944.26587","1.4637","143.6156"
"49.45000","0.46656","2,952.08032","1.4707","143.9967"
"49.55000","0.46862","2,967.10791","1.4787","144.7297"
"49.65000","0.47006","2,966.02759","1.4842","144.6770"
"49.75000","0.47162","2,970.89429","1.4902","144.9144"
"49.85000","0.47344","2,980.15918","1.4972","145.3663"
"49.95000","0.47556","2,990.09131","1.5053","145.8508"
"50.05000","0.47656","2,984.51587","1.5092","145.5789"
"50.15000","0.47812","2,989.07520","1.5152","145.8013"
"50.25000","0.48025","3,005.90308","1.5234","146.6221"
"50.35000","0.48175","3,005.82031","1.5291","146.6181"
"50.45000","0.48331","3,009.42773","1.5351","146.7940"
"50.55000","0.48519","3,018.75464","1.5424","147.2490"
"50.65000","0.48725","3,028.36011","1.5503","147.7175"
"50.75000","0.48825","3,023.92480","1.5541","147.5012"
"50.85000","0.48962","3,025.71143","1.5594","147.5883"
"50.95000","0.49194","3,044.58691","1.5683","148.5090"
"51.05000","0.49344","3,045.34424","1.5741","148.5460"
"51.15000","0.49500","3,049.44531","1.5801","148.7460"
"51.25000","0.49675","3,055.85425","1.5868","149.0586"
"51.35000","0.49887","3,065.59790","1.5950","149.5339"
"51.45000","0.50006","3,065.31592","1.5996","149.5201"
"51.55000","0.50137","3,064.48340","1.6046","149.4795"
"51.65000","0.50369","3,082.34961","1.6135","150.3510"
"51.75000","0.50512","3,083.37305","1.6190","150.4009"
"51.85000","0.50662","3,086.47412","1.6248","150.5522"
"51.95000","0.50837","3,092.74731","1.6315","150.8582"
"52.05000","0.51050","3,103.34644","1.6397","151.3752"
"52.15000","0.51187","3,106.33618","1.6450","151.5210"
"52.25000","0.51300","3,102.12939","1.6493","151.3158"
"52.35000","0.51531","3,118.54102","1.6582","152.1163"
"52.45000","0.51681","3,122.16162","1.6640","152.2930"
"52.55000","0.51837","3,126.52148","1.6700","152.5056"
"52.65000","0.52006","3,131.55249","1.6765","152.7510"
"52.75000","0.52206","3,141.64307","1.6842","153.2432"
"52.85000","0.52356","3,146.04517","1.6899","153.4579"
"52.95000","0.52469","3,140.60742","1.6943","153.1927"
"53.05000","0.52675","3,154.68872","1.7022","153.8796"
"53.15000","0.52844","3,162.21875","1.7087","154.2469"
"53.25000","0.53006","3,166.20776","1.7149","154.4414"
"53.35000","0.53169","3,169.96313","1.7212","154.6246"
"53.45000","0.53350","3,178.41772","1.7282","155.0370"
"53.55000","0.53537","3,187.20166","1.7354","155.4655"
"53.65000","0.53637","3,180.83081","1.7392","155.1547"
"53.75000","0.53837","3,191.13428","1.7469","155.6573"
"53.85000","0.54019","3,202.88843","1.7539","156.2307"
"53.95000","0.54175","3,203.81348","1.7599","156.2758"
"54.05000","0.54319","3,206.72852","1.7654","156.4180"
"54.15000","0.54519","3,218.01685","1.7731","156.9686"
"54.25000","0.54719","3,226.98511","1.7808","157.4060"
"54.35000","0.54812","3,220.26904","1.7844","157.0784"
"54.45000","0.54994","3,227.56982","1.7914","157.4346"
"54.55000","0.55187","3,241.52441","1.7988","158.1152"
"54.65000","0.55344","3,243.00684","1.8049","158.1875"
"54.75000","0.55494","3,246.95557","1.8106","158.3802"
"54.85000","0.55687","3,256.21021","1.8181","158.8316"
"54.95000","0.55887","3,265.90601","1.8258","159.3045"
"55.05000","0.55987","3,259.37939","1.8296","158.9862"
"55.15000","0.56144","3,263.92944","1.8356","159.2081"
"55.25000","0.56356","3,280.99170","1.8438","160.0404"
"55.35000","0.56512","3,282.34619","1.8498","160.1064"
"55.45000","0.56662","3,284.92480","1.8556","160.2322"
"55.55000","0.56844","3,293.37085","1.8625","160.6442"
"55.65000","0.57056","3,304.32910","1.8707","161.1787"
"55.75000","0.57162","3,300.69775","1.8748","161.0016"
"55.85000","0.57300","3,300.95288","1.8801","161.0141"
"55.95000","0.57531","3,319.57593","1.8890","161.9224"
"56.05000","0.57681","3,321.39990","1.8948","162.0114"
"56.15000","0.57825","3,322.93091","1.9003","162.0861"
"56.25000","0.58006","3,330.42700","1.9073","162.4517"
"56.35000","0.58219","3,342.26978","1.9154","163.0294"
"56.45000","0.58337","3,340.77075","1.9200","162.9563"
"56.55000","0.58469","3,338.64087","1.9250","162.8524"
"56.65000","0.58694","3,356.08545","1.9337","163.7033"
"56.75000","0.58844","3,358.58325","1.9395","163.8251"
"56.85000","0.58994","3,362.39014","1.9452","164.0108"
"56.95000","0.59175","3,368.05200","1.9522","164.2870"
"57.05000","0.59394","3,380.02783","1.9606","164.8712"
"57.15000","0.59512","3,378.45020","1.9652","164.7942"
"57.25000","0.59631","3,376.18896","1.9698","164.6839"
"57.35000","0.59856","3,392.22778","1.9784","165.4663"
"57.45000","0.60019","3,397.36450","1.9847","165.7168"
"57.55000","0.60169","3,400.19922","1.9904","165.8551"
"57.65000","0.60337","3,404.58716","1.9969","166.0691"
"57.75000","0.60537","3,414.41479","2.0046","166.5485"
"57.85000","0.60687","3,419.18237","2.0104","166.7811"
"57.95000","0.60800","3,414.41748","2.0147","166.5486"
"58.05000","0.61012","3,427.34839","2.0229","167.1794"
"58.15000","0.61187","3,435.75928","2.0296","167.5896"
"58.25000","0.61337","3,437.89038","2.0354","167.6936"
"58.35000","0.61494","3,441.43408","2.0414","167.8664"
"58.45000","0.61694","3,451.64282","2.0491","168.3644"
"58.55000","0.61869","3,458.15161","2.0558","168.6819"
"58.65000","0.61969","3,451.56494","2.0597","168.3606"
