Specimen number (included),2
Modulus (Automatic Young's),"187,336.68527",MPa
Length,"26.00000",mm
Specimen ID,"008"
Thickness,"1.96500",mm
Width,"10.14700",mm
Tensile stress at Tensile strength,"183.72810",MPa
Tensile strain (Strain 1) at Tensile strength,"0.01735",mm/mm

Time,Extension,Load,Tensile strain (Strain 1),Tensile stress
(s),(mm),(N),(%),(MPa)
"28.60000","0.18069","2,167.51880","0.4890","108.7083"
"28.70000","0.18275","2,189.80908","0.4970","109.8262"
"28.80000","0.18425","2,194.73315","0.5027","110.0732"
"28.90000","0.18575","2,203.10059","0.5085","110.4928"
"29.00000","0.18769","2,218.91431","0.5160","111.2859"
"29.10000","0.18969","2,234.09375","0.5236","112.0472"
"29.20000","0.19075","2,233.73950","0.5277","112.0295"
"29.30000","0.19225","2,240.17139","0.5335","112.3521"
"29.40000","0.19444","2,263.82104","0.5419","113.5382"
"29.50000","0.19594","2,269.44678","0.5477","113.8203"
"29.60000","0.19750","2,277.02197","0.5537","114.2002"
"29.70000","0.19937","2,290.65405","0.5609","114.8839"
"29.80000","0.20137","2,304.85229","0.5686","115.5960"
"29.90000","0.20250","2,308.46973","0.5729","115.7775"
"30.00000","0.20381","2,310.60156","0.5780","115.8844"
"30.10000","0.20619","2,335.31616","0.5871","117.1239"
"30.20000","0.20769","2,342.09155","0.5929","117.4637"
"30.30000","0.20919","2,349.01074","0.5986","117.8107"
"30.40000","0.21094","2,360.68994","0.6054","118.3965"
"30.50000","0.21300","2,375.82715","0.6133","119.1556"
"30.60000","0.21431","2,382.26050","0.6184","119.4783"
"30.70000","0.21550","2,382.41577","0.6229","119.4861"
"30.80000","0.21787","2,404.92285","0.6321","120.6149"
"30.90000","0.21931","2,412.17383","0.6376","120.9786"
"31.00000","0.22081","2,419.59155","0.6434","121.3506"
"31.10000","0.22250","2,429.55640","0.6499","121.8503"
"31.20000","0.22450","2,443.65991","0.6575","122.5577"
"31.30000","0.22606","2,454.51270","0.6636","123.1020"
"31.40000","0.22719","2,452.02515","0.6679","122.9772"
"31.50000","0.22937","2,470.87622","0.6763","123.9227"
"31.60000","0.23100","2,481.78882","0.6825","124.4700"
"31.70000","0.23250","2,488.02295","0.6883","124.7826"
"31.80000","0.23419","2,497.36279","0.6948","125.2511"
"31.90000","0.23619","2,511.68335","0.7025","125.9693"
"32.00000","0.23781","2,522.23901","0.7087","126.4987"
"32.10000","0.23887","2,519.00220","0.7128","126.3364"
"32.20000","0.24087","2,533.39429","0.7205","127.0582"
"32.30000","0.24269","2,549.90430","0.7275","127.8862"
"32.40000","0.24425","2,554.88477","0.7335","128.1360"
"32.50000","0.24581","2,562.56982","0.7395","128.5214"
"32.60000","0.24769","2,575.32251","0.7467","129.1610"
"32.70000","0.24962","2,590.41943","0.7542","129.9182"
"32.80000","0.25056","2,585.71265","0.7578","129.6821"
"32.90000","0.25250","2,597.11475","0.7652","130.2540"
"33.00000","0.25437","2,615.88062","0.7724","131.1951"
"33.10000","0.25587","2,619.31079","0.7782","131.3672"
"33.20000","0.25744","2,627.58325","0.7842","131.7821"
"33.30000","0.25931","2,640.07349","0.7914","132.4085"
"33.40000","0.26137","2,655.16895","0.7994","133.1656"
"33.50000","0.26231","2,650.81323","0.8030","132.9471"
"33.60000","0.26406","2,659.40356","0.8097","133.3780"
"33.70000","0.26600","2,679.56665","0.8172","134.3892"
"33.80000","0.26756","2,683.26685","0.8232","134.5748"
"33.90000","0.26912","2,691.00439","0.8292","134.9628"
"34.00000","0.27100","2,703.31738","0.8364","135.5804"
"34.10000","0.27306","2,716.70337","0.8443","136.2517"
"34.20000","0.27406","2,714.03882","0.8482","136.1181"
"34.30000","0.27562","2,719.95166","0.8542","136.4146"
"34.40000","0.27775","2,741.63428","0.8624","137.5021"
"34.50000","0.27931","2,745.73340","0.8684","137.7077"
"34.60000","0.28081","2,752.57251","0.8741","138.0507"
"34.70000","0.28262","2,763.17969","0.8811","138.5827"
"34.80000","0.28475","2,777.39502","0.8893","139.2956"
"34.90000","0.28581","2,777.35156","0.8934","139.2934"
"35.00000","0.28719","2,779.28027","0.8986","139.3902"
"35.10000","0.28956","2,803.31519","0.9078","140.5956"
"35.20000","0.29100","2,805.48682","0.9133","140.7045"
"35.30000","0.29244","2,811.41431","0.9188","141.0018"
"35.40000","0.29425","2,821.59082","0.9258","141.5122"
"35.50000","0.29637","2,835.39160","0.9340","142.2043"
"35.60000","0.29762","2,839.39868","0.9388","142.4053"
"35.70000","0.29887","2,838.59009","0.9436","142.3648"
"35.80000","0.30112","2,859.37622","0.9523","143.4072"
"35.90000","0.30262","2,864.65723","0.9580","143.6721"
"36.00000","0.30412","2,871.35059","0.9638","144.0078"
"36.10000","0.30587","2,879.64038","0.9705","144.4236"
"36.20000","0.30800","2,894.04565","0.9787","145.1460"
"36.30000","0.30937","2,898.82373","0.9840","145.3857"
"36.40000","0.31050","2,897.00220","0.9883","145.2943"
"36.50000","0.31269","2,914.85010","0.9967","146.1895"
"36.60000","0.31431","2,925.17627","1.0030","146.7073"
"36.70000","0.31587","2,930.21484","1.0090","146.9600"
"36.80000","0.31750","2,936.60986","1.0152","147.2808"
"36.90000","0.31950","2,949.97681","1.0229","147.9512"
"37.00000","0.32112","2,959.44653","1.0292","148.4261"
"37.10000","0.32219","2,955.39917","1.0333","148.2231"
"37.20000","0.32425","2,969.71191","1.0412","148.9409"
"37.30000","0.32606","2,982.57397","1.0482","149.5860"
"37.40000","0.32762","2,986.70044","1.0542","149.7930"
"37.50000","0.32906","2,991.13354","1.0597","150.0153"
"37.60000","0.33112","3,006.11670","1.0676","150.7668"
"37.70000","0.33287","3,015.71924","1.0744","151.2484"
"37.80000","0.33394","3,011.32959","1.0785","151.0282"
"37.90000","0.33587","3,022.29272","1.0859","151.5780"
"38.00000","0.33769","3,037.90674","1.0929","152.3611"
"38.10000","0.33925","3,040.73999","1.0989","152.5033"
"38.20000","0.34075","3,045.86133","1.1047","152.7601"
"38.30000","0.34281","3,061.08643","1.1126","153.5237"
"38.40000","0.34462","3,070.72705","1.1196","154.0072"
"38.50000","0.34562","3,064.96484","1.1234","153.7182"
"38.60000","0.34737","3,072.68091","1.1301","154.1052"
"38.70000","0.34937","3,092.34570","1.1378","155.0914"
"38.80000","0.35094","3,094.85742","1.1438","155.2174"
"38.90000","0.35250","3,098.83813","1.1499","155.4171"
"39.00000","0.35437","3,111.09399","1.1571","156.0317"
"39.10000","0.35631","3,122.54590","1.1645","156.6061"
"39.20000","0.35737","3,118.83008","1.1686","156.4197"
"39.31200","0.35919","3,125.16016","1.1756","156.7372"
"39.41200","0.36131","3,144.74170","1.1837","157.7193"
"39.51200","0.36281","3,147.06494","1.1895","157.8358"
"39.61200","0.36431","3,150.92773","1.1953","158.0295"
"39.71200","0.36619","3,162.78784","1.2025","158.6244"
"39.81200","0.36825","3,175.25000","1.2104","159.2494"
"39.91200","0.36931","3,171.60645","1.2145","159.0666"
"40.01200","0.37081","3,174.91919","1.2203","159.2328"
"40.11200","0.37294","3,194.65723","1.2285","160.2227"
"40.21200","0.37450","3,198.38550","1.2345","160.4097"
"40.31200","0.37600","3,202.85669","1.2402","160.6339"
"40.41200","0.37794","3,212.87280","1.2477","161.1363"
"40.51200","0.37994","3,224.64966","1.2554","161.7269"
"40.61200","0.38106","3,221.87280","1.2597","161.5877"
"40.71200","0.38237","3,223.45654","1.2648","161.6671"
"40.81200","0.38469","3,244.23950","1.2736","162.7094"
"40.91200","0.38619","3,247.25220","1.2794","162.8605"
"41.01200","0.38769","3,251.71509","1.2852","163.0844"
"41.11200","0.38950","3,260.49805","1.2922","163.5248"
"41.21200","0.39144","3,270.49048","1.2996","164.0260"
"41.31200","0.39281","3,274.30225","1.3049","164.2172"
"41.41200","0.39406","3,271.82251","1.3097","164.0928"
"41.51200","0.39637","3,291.37378","1.3186","165.0734"
"41.61200","0.39787","3,295.01001","1.3244","165.2557"
"41.71200","0.39931","3,298.66113","1.3299","165.4389"
"41.81200","0.40112","3,306.94092","1.3369","165.8541"
"41.91200","0.40312","3,317.24805","1.3446","166.3710"
"42.01200","0.40456","3,322.74463","1.3501","166.6467"
"42.11200","0.40569","3,318.36304","1.3544","166.4270"
"42.21200","0.40787","3,334.30127","1.3628","167.2263"
"42.31200","0.40950","3,342.15308","1.3691","167.6201"
"42.41200","0.41106","3,345.89551","1.3751","167.8078"
"42.51200","0.41275","3,352.07104","1.3816","168.1175"
"42.61200","0.41469","3,362.46167","1.3890","168.6387"
"42.71200","0.41637","3,370.19897","1.3955","169.0267"
"42.81200","0.41737","3,364.53662","1.3994","168.7427"
"42.91200","0.41944","3,376.49854","1.4073","169.3427"
"43.01200","0.42119","3,388.60864","1.4140","169.9500"
"43.11200","0.42275","3,391.19800","1.4200","170.0799"
"43.21200","0.42444","3,396.64038","1.4265","170.3528"
"43.31200","0.42631","3,406.29932","1.4337","170.8373"
"43.41200","0.42812","3,415.21680","1.4407","171.2845"
"43.51200","0.42912","3,409.35400","1.4446","170.9905"
"43.61200","0.43100","3,418.15918","1.4518","171.4321"
"43.71200","0.43287","3,433.15259","1.4590","172.1841"
"43.81200","0.43444","3,434.18457","1.4650","172.2358"
"43.91200","0.43600","3,438.60229","1.4710","172.4574"
"44.01200","0.43794","3,450.04468","1.4785","173.0312"
"44.11200","0.43987","3,459.20483","1.4859","173.4906"
"44.21200","0.44087","3,453.16577","1.4898","173.1878"
"44.31200","0.44250","3,457.72168","1.4960","173.4163"
"44.41200","0.44456","3,475.91553","1.5039","174.3288"
"44.51200","0.44612","3,477.26978","1.5099","174.3967"
"44.61200","0.44762","3,480.73315","1.5157","174.5704"
"44.71200","0.44956","3,491.38599","1.5232","175.1046"
"44.81200","0.45156","3,500.15918","1.5309","175.5446"
"44.91200","0.45262","3,495.06836","1.5349","175.2893"
"45.01200","0.45406","3,496.29932","1.5405","175.3511"
"45.11200","0.45637","3,517.64404","1.5494","176.4216"
"45.21200","0.45781","3,516.41260","1.5549","176.3598"
"45.31200","0.45937","3,520.60303","1.5609","176.5700"
"45.41200","0.46119","3,527.64062","1.5679","176.9229"
"45.51200","0.46325","3,537.39478","1.5758","177.4121"
"45.61200","0.46437","3,535.73486","1.5801","177.3289"
"45.71200","0.46575","3,534.36475","1.5854","177.2602"
"45.81200","0.46806","3,553.77783","1.5943","178.2338"
"45.91200","0.46950","3,554.41895","1.5999","178.2660"
"46.01200","0.47100","3,557.62842","1.6056","178.4269"
"46.11200","0.47281","3,564.41919","1.6126","178.7675"
"46.21200","0.47487","3,574.62061","1.6205","179.2791"
"46.31200","0.47619","3,576.60327","1.6256","179.3786"
"46.41200","0.47744","3,572.54492","1.6304","179.1750"
"46.51200","0.47969","3,588.85571","1.6390","179.9931"
"46.61200","0.48119","3,592.61597","1.6448","180.1817"
"46.71200","0.48269","3,595.29785","1.6506","180.3162"
"46.81200","0.48444","3,601.35425","1.6573","180.6199"
"46.91200","0.48650","3,611.20801","1.6652","181.1141"
"47.01200","0.48794","3,613.80200","1.6708","181.2442"
"47.11200","0.48900","3,608.05493","1.6749","180.9560"
"47.21200","0.49119","3,622.60938","1.6833","181.6859"
"47.31200","0.49281","3,630.42871","1.6895","182.0781"
"47.41200","0.49444","3,633.27222","1.6958","182.2207"
"47.51200","0.49606","3,636.07788","1.7020","182.3614"
"47.61200","0.49794","3,644.36401","1.7092","182.7770"
"47.71200","0.49969","3,651.05200","1.7160","183.1124"
"47.81200","0.50075","3,643.15967","1.7200","182.7166"
"47.91200","0.50281","3,654.95312","1.7280","183.3081"
"48.01200","0.50456","3,663.32788","1.7347","183.7281"
"48.11200","0.50606","3,657.86304","1.7405","183.4540"
"48.15600","0.50694","3,440.35107","1.7438","172.5451"
"48.15800","0.50700","3,297.18066","1.7441","165.3646"
"48.16000","0.50712","3,131.36768","1.7446","157.0485"
"48.16200","0.50725","2,948.44312","1.7450","147.8743"
"48.16400","0.50737","2,752.29395","1.7455","138.0367"
"48.16600","0.50750","2,548.35132","1.7460","127.8083"
"48.16800","0.50762","2,341.67749","1.7465","117.4429"
"48.17000","0.50769","2,135.54980","1.7467","107.1049"
